Time,Vertical Force (single leg)
18715.72648,651.380554
18715.73481,628.950134
18715.74315,578.59613
18715.75148,548.841492
18715.75981,534.345642
18715.76815,534.345642
18715.77648,490.40033
18715.78481,490.40033
18715.79315,475.446716
18715.80148,450.422302
18715.80981,445.081726
18715.81815,445.081726
18715.82648,449.201599
18715.83481,449.659363
18715.84315,448.743835
18715.85148,464.002625
18715.85981,441.419617
18715.86815,418.378845
18715.87648,377.332703
18715.88481,377.332703
18715.89315,322.858826
18715.90148,244.886398
18715.90981,189.03923
18715.91815,189.03923
18715.92648,174.390793
18715.93481,140.668869
18715.94315,98.707199
18715.95148,77.344894
18715.95981,49.116135
18715.96815,49.116135
18715.97648,46.216965
18715.98481,14.936447
18715.99315,60.407639
18716.00148,13.410568
18716.00981,39.197922
18716.01815,41.48674
18716.02648,41.48674
18716.03481,49.268723
18716.04315,27.601242
18716.05148,11.274338
18716.05981,14.02092
18716.06815,35.840988
18716.07648,35.840988
18716.08481,60.102463
18716.09315,34.925461
18716.10148,-6.120682
18716.10981,17.072678
18716.11815,48.810959
18716.12648,17.225266
18716.13481,17.225266
18716.14315,29.432297
18716.15148,4.560471
18716.15981,22.108078
18716.16815,22.108078
18716.17648,32.178879
18716.18481,32.484055
18716.19315,10.511398
18716.20148,14.02092
18716.20981,20.734787
18716.21815,33.246994
18716.22648,33.246994
18716.23481,19.81926
18716.24315,19.81926
18716.25148,24.396896
18716.25981,45.301437
18716.26815,45.301437
18716.27648,183.546066
18716.28481,388.776794
18716.29315,543.500916
18716.30148,645.88739
18716.30981,846.845642
18716.31815,943.281189
18716.32648,943.281189
18716.33481,978.986755
18716.34315,996.229187
18716.35148,1003.400818
18716.35981,1033.002808
18716.36815,1087.324097
18716.37648,1087.324097
18716.38481,1094.34314
18716.39315,1077.558472
18716.40148,977.91864
18716.40981,954.267517
18716.41815,873.395935
18716.42648,873.395935
18716.43481,805.341736
18716.44315,692.274109
18716.45148,640.241638
18716.45981,566.694275
18716.46815,538.923279
18716.47648,538.923279
18716.48481,481.855408
18716.49315,428.602234
18716.50148,395.64325
18716.50981,400.526062
18716.51815,400.526062
18716.52648,393.659607
18716.53481,419.141785
18716.54315,424.482361
18716.55148,467.512146
18716.55981,506.879822
18716.56815,570.966736
18716.57648,570.966736
18716.58481,599.348083
18716.59315,671.21698
18716.60148,714.246765
18716.60981,776.044861
18716.61815,776.044861
18716.62648,805.341736
18716.63481,849.287048
18716.64315,879.652039
18716.65148,924.665466
18716.65981,928.327576
18716.66815,928.327576
18716.67648,944.349304
18716.68481,929.395691
18716.69315,894.75824
18716.70148,825.025574
18716.70981,761.091248
18716.71815,645.277039
18716.72648,645.277039
18716.73481,448.743835
18716.74315,350.78241
18716.75148,254.957199
18716.75981,162.183762
18716.76815,162.183762
18716.77648,85.737228
18716.78481,83.143234
18716.79315,54.761887
18716.80148,39.045334
18716.80981,14.936447
18716.81815,30.347824
18716.82648,30.347824
18716.83481,58.88176
18716.84315,22.565842
18716.85148,15.699387
18716.85981,11.884689
18716.86815,32.484055
18716.87648,32.484055
18716.88481,47.437668
18716.89315,7.459641
18716.90148,25.465012
18716.90981,21.95549
18716.91815,21.95549
18716.92648,30.195236
18716.93481,10.206223
18716.94315,27.75383
18716.95148,12.342453
18716.95981,32.484055
18716.96815,17.988205
18716.97648,17.988205
18716.98481,16.462326
18716.99315,24.85466
18717.00148,20.887375
18717.00981,14.478683
18717.01815,14.478683
18717.02648,16.614914
18717.03481,16.614914
18717.04315,19.208908
18717.05148,24.091721
18717.05981,12.647629
18717.06815,22.71843
18717.07648,22.71843
18717.08481,10.35881
18717.09315,10.816574
18717.10148,21.497726
18717.10981,26.838303
